,Compound,Date,Negative,Neutral,News Source,Positive,Tweet Count,Tweet Text
115,0.4939,Tue Mar 20 16:05:37 +0000 2018,0.0,0.789,CBC,0.211,16,Watch these adorable Arctic fox puppies take their first steps: https://t.co/vzOgOBIMtk | @cbcdocs https://t.co/IpLP1DmfmH
116,0.857,Tue Mar 20 15:55:56 +0000 2018,0.051,0.632,CBC,0.317,17,"@blaufman @Steve618 @CBCFrankieDrake Hi Brian! No word just yet, but we promise to tweet &amp; share info as soon as we have it :)"
117,-0.3595,Tue Mar 20 15:47:16 +0000 2018,0.128,0.872,CBC,0.0,18,"@Steve618 @CBCFrankieDrake Hi Steven! No word just yet. Generally, we announce all show renewals in spring (around… https://t.co/RNP4ybyOnG"
118,0.0,Tue Mar 20 15:30:02 +0000 2018,0.0,1.0,CBC,0.0,19,"Could you recognize any of Canada's Indigenous languages if you heard it being spoken in public? | @CBCArts
https://t.co/96RFzrWRtZ"
119,0.8588,Tue Mar 20 13:49:06 +0000 2018,0.0,0.513,CBC,0.487,20,"@woolqueen2 @CBCMurdoch You're welcome, Nancy. Hope you enjoyed the finale last night! #Lovecbc"
120,0.0,Tue Mar 20 13:44:36 +0000 2018,0.0,1.0,CBC,0.0,21,"@Miss_Mousie Hi. In the past we have broadcast seasons 1-3 in the summer, so stay tuned for summer programming anno… https://t.co/zEzOJp09LI"
121,0.4404,Tue Mar 20 00:52:19 +0000 2018,0.0,0.847,CBC,0.153,22,"@soo_cee2017 @Msdmurph @bimmerella @POTUS @BBCWorld @CTVNews Pleased to be included on your list of go-tos, SueCeeQ… https://t.co/jdQZuMLR5w"
122,0.8475,Tue Mar 20 00:50:47 +0000 2018,0.0,0.662,CBC,0.338,23,"@leafsman @ITisSunshinexo So happy to hear you're loving it! We're cc-ing @CBCDetectives, so they'll know you've be… https://t.co/ghLfPyQgYm"
123,0.2617,Tue Mar 20 00:49:23 +0000 2018,0.085,0.779,CBC,0.136,24,"@HacheFilardi @TorontoStar @globeandmail @tdsb Regrets, Ernesto. We don't do external RTs, but we can share this ti… https://t.co/MmDwgYYCp2"
124,0.5093,Tue Mar 20 00:47:59 +0000 2018,0.0,0.82,CBC,0.18,25,"@sinclairm @SimuLiu @KimsConvenience It's never too late to get into @KimsConvenience, Meghan! Glad you're enjoying… https://t.co/SSuZZ2yHQ1"
125,0.6369,Tue Mar 20 00:30:00 +0000 2018,0.0,0.682,CBC,0.318,26,When's the best time to buy a plane ticket?  | @CBChellogoodbye https://t.co/PcFBbPXGdh
126,0.7345,Tue Mar 20 00:05:11 +0000 2018,0.0,0.744,CBC,0.256,27,"@puppymcpooch Ah, McPooch. Have we thanked you lately for your tweets? Your #Corrie commentary is unparalleled. Total game changer! :)"
127,0.9239,Mon Mar 19 23:57:04 +0000 2018,0.0,0.512,CBC,0.488,28,"@Lamchop99 @allanhawco Thanks for sharing the stellar review, Lisa Ann! So thrilled you're loving @CaughtCBC. We ha… https://t.co/JDL7bWzFut"
